,title,publish,view_count,like_count
65,"The Pat McAfee Show | Tuesday May 10th, 2022",2022-05-10T19:17:55Z,269107,4797
66,"The Pat McAfee Show | Monday May 9th, 2022",2022-05-09T19:20:08Z,287754,4830
67,"The Pat McAfee Show | Friday May 6th, 2022 Pt 2",2022-05-06T19:32:56Z,430617,5160
68,"The Pat McAfee Show | Friday May 6th, 2022",2022-05-06T16:18:14Z,91898,2167
69,"The Pat McAfee Show | Thursday May 5th, 2022",2022-05-05T19:26:47Z,278694,4706
70,"The Pat McAfee Show | Wednesday May 4th, 2022",2022-05-04T19:29:57Z,312704,5348
71,"The Pat McAfee Show | Tuesday May 3rd, 2022",2022-05-03T19:48:47Z,319347,5415
72,"The Pat McAfee Show | Monday May 2nd, 2022",2022-05-02T19:24:51Z,341717,6660
73,"The Pat McAfee Show | Friday April 29th, 2022",2022-04-29T19:48:55Z,429933,6964
74,"Pat McAfee's Draft Spectacular | April 28th, 2022",2022-04-29T04:03:22Z,1376959,29529
75,"The Pat McAfee Show | Thursday April 28th, 2022",2022-04-28T18:21:33Z,296846,5828
76,"The Pat McAfee Show | Wednesday April 27th, 2022",2022-04-27T19:30:40Z,325738,6070
77,"The Pat McAfee Show | Tuesday April 26th, 2022",2022-04-26T19:58:05Z,338286,5218
78,"The Pat McAfee Show | Monday April 25th, 2022",2022-04-25T20:06:55Z,344789,5535
79,"The Pat McAfee Show | Friday April 22nd, 2022",2022-04-22T18:13:58Z,300120,4831
80,"The Pat McAfee Show | Thursday April 21st, 2022",2022-04-21T19:28:08Z,288356,4817
81,"The Pat McAfee Show | Wednesday April 20th, 2022",2022-04-20T20:08:26Z,438237,5438
82,"The Pat McAfee Show | Tuesday April 19th, 2022",2022-04-19T19:46:40Z,317399,5564
83,"The Pat McAfee Show | Monday April 18th, 2022",2022-04-18T19:15:44Z,307229,5097
84,"The Pat McAfee Show | Friday April 15th, 2022",2022-04-15T18:17:28Z,323648,5177
85,"The Pat McAfee Show | Thursday April 14th, 2022",2022-04-14T19:22:15Z,283438,4784
86,"The Pat McAfee Show | Wednesday April 13th, 2022",2022-04-13T19:45:15Z,332702,4998
87,"The Pat McAfee Show | Tuesday April 12th, 2022",2022-04-12T19:37:40Z,327927,4871
88,"The Pat McAfee Show | Monday April 11th, 2022",2022-04-11T19:23:40Z,333741,5330
89,"The Pat McAfee Show | Friday April 8th, 2022",2022-04-08T19:16:44Z,324968,6086
90,"The Pat McAfee Show | Thursday April 7th, 2022",2022-04-07T19:27:48Z,277999,4802
91,"The Pat McAfee Show | Wednesday April 6th, 2022",2022-04-06T19:46:06Z,321442,5363
92,"The Pat McAfee Show | Tuesday April 5th, 2022",2022-04-05T20:04:32Z,367808,5704
93,"The Pat McAfee Show | Monday April 4th, 2022",2022-04-04T19:16:50Z,453626,10605
94,"The Pat McAfee Show | Thursday March 31st, 2022",2022-03-31T19:19:40Z,332115,6002
95,"The Pat McAfee Show | Wednesday March 30th, 2022",2022-03-30T19:27:16Z,334131,5566
96,"The Pat McAfee Show | Tuesday March 29th, 2022",2022-03-29T19:31:15Z,318500,5286
97,"The Pat McAfee Show | Monday March 28th, 2022",2022-03-28T19:46:11Z,386523,6095
98,"The Pat McAfee Show | Friday March 25th, 2022",2022-03-25T19:15:13Z,373730,5777
99,"The Pat McAfee Show | Thursday March 24th, 2022",2022-03-24T19:44:36Z,344025,5551
100,"The Pat McAfee Show | Wednesday March 23rd, 2022",2022-03-23T19:50:33Z,425425,6963
101,"The Pat McAfee Show | Tuesday March 22nd, 2022",2022-03-22T19:52:37Z,409605,7117
102,"The Pat McAfee Show | Monday March 21st, 2022",2022-03-21T19:33:19Z,418408,6761
103,"Tom Telesco Talks Recent MAJOR Moves, Having To Keep Up With The Division | Pat McAfee Reacts",2022-03-19T16:00:14Z,196474,2833
104,"The Pat McAfee Show | Friday March 18th, 2022",2022-03-18T18:17:37Z,374662,6144
105,"The Pat McAfee Show | Thursday March 17th, 2022",2022-03-17T20:15:58Z,394520,6022
106,"The Pat McAfee Show | Wednesday March 16th, 2022",2022-03-16T19:30:58Z,346279,5761
107,"The Pat McAfee Show | Tuesday March 15th, 2022",2022-03-15T19:38:10Z,385927,6188
108,"The Pat McAfee Show | Monday March 14th, 2022",2022-03-14T19:22:57Z,412590,6986
109,"The Pat McAfee Show | Friday March 11th, 2022",2022-03-11T19:06:30Z,254295,4104
110,"The Pat McAfee Show | Wednesday March 9th, 2022",2022-03-09T20:27:03Z,343014,5420
111,"The Pat McAfee Show | Tuesday March 8th, 2022",2022-03-08T20:29:25Z,473684,8082
