,title,publish,view_count,like_count,day_of_week,day_name
40,"The Pat McAfee Show | Thursday June 16th, 2022",2022-06-16 19:14:38+00:00,234109,3990,3,Thursday
41,"The Pat McAfee Show | Wednesday June 15th, 2022",2022-06-15 19:42:40+00:00,272235,4747,2,Wednesday
42,"The Pat McAfee Show | Tuesday June 14th, 2022",2022-06-14 19:49:47+00:00,277613,4690,1,Tuesday
43,"The Pat McAfee Show | Monday June 13th, 2022",2022-06-13 19:47:13+00:00,284949,4870,0,Monday
44,"The Pat McAfee Show | Friday June 10th, 2022",2022-06-10 19:12:35+00:00,236807,4063,4,Friday
45,"The Pat McAfee Show | Thursday June 9th, 2022",2022-06-09 19:16:59+00:00,256370,4464,3,Thursday
46,"The Pat McAfee Show | Wednesday June 8th, 2022",2022-06-08 19:42:11+00:00,292634,5111,2,Wednesday
47,"The Pat McAfee Show | Tuesday June 7th, 2022",2022-06-07 20:09:39+00:00,291896,4743,1,Tuesday
48,"The Pat McAfee Show | Monday June 6th, 2022",2022-06-06 19:37:51+00:00,323813,4550,0,Monday
49,"The Pat McAfee Show | Friday June 3rd, 2022 with AJ Hawk Live In Studio!",2022-06-03 19:24:41+00:00,353047,6388,4,Friday
50,"The Pat McAfee Show | Thursday June 2nd, 2022",2022-06-02 19:40:08+00:00,259120,4624,3,Thursday
51,"The Pat McAfee Show | Wednesday June 1st, 2022",2022-06-01 19:53:01+00:00,278563,4491,2,Wednesday
52,"The Pat McAfee Show | Tuesday May 31st, 2022",2022-05-31 20:13:27+00:00,325926,5152,1,Tuesday
53,"The Pat McAfee Show | Friday May 27th, 2022",2022-05-27 19:25:54+00:00,265232,4769,4,Friday
54,"The Pat McAfee Show | Wednesday May 25th, 2022",2022-05-25 22:18:05+00:00,107625,1271,2,Wednesday
55,"The Pat McAfee Show | Tuesday May 24th, 2022",2022-05-24 20:11:53+00:00,264444,4552,1,Tuesday
56,"The Pat McAfee Show | Monday May 23rd, 2022",2022-05-23 19:52:56+00:00,291742,4828,0,Monday
57,"The Pat McAfee Show | Friday May 20th, 2022",2022-05-20 19:10:35+00:00,258067,4696,4,Friday
58,"The Pat McAfee Show | Thursday May 19th, 2022",2022-05-19 19:34:13+00:00,243141,4213,3,Thursday
59,"The Pat McAfee Show | Wednesday May 18th, 2022",2022-05-18 19:20:07+00:00,249918,4696,2,Wednesday
60,"The Pat McAfee Show | Tuesday May 17th, 2022",2022-05-17 19:42:15+00:00,285392,5212,1,Tuesday
61,"The Pat McAfee Show | Monday May 16th, 2022",2022-05-16 19:53:02+00:00,319618,5261,0,Monday
62,"The Pat McAfee Show | Friday May 13th, 2022",2022-05-13 19:09:46+00:00,284708,5018,4,Friday
63,"The Pat McAfee Show | Thursday May 12th, 2022",2022-05-12 17:59:10+00:00,275970,4486,3,Thursday
64,"The Pat McAfee Show | Wednesday May 11th, 2022",2022-05-11 19:46:24+00:00,289269,4665,2,Wednesday
65,"The Pat McAfee Show | Tuesday May 10th, 2022",2022-05-10 19:17:55+00:00,269107,4797,1,Tuesday
66,"The Pat McAfee Show | Monday May 9th, 2022",2022-05-09 19:20:08+00:00,287754,4830,0,Monday
67,"The Pat McAfee Show | Friday May 6th, 2022 Pt 2",2022-05-06 19:32:56+00:00,430617,5160,4,Friday
68,"The Pat McAfee Show | Friday May 6th, 2022",2022-05-06 16:18:14+00:00,91898,2167,4,Friday
69,"The Pat McAfee Show | Thursday May 5th, 2022",2022-05-05 19:26:47+00:00,278694,4706,3,Thursday
70,"The Pat McAfee Show | Wednesday May 4th, 2022",2022-05-04 19:29:57+00:00,312704,5348,2,Wednesday
71,"The Pat McAfee Show | Tuesday May 3rd, 2022",2022-05-03 19:48:47+00:00,319347,5415,1,Tuesday
72,"The Pat McAfee Show | Monday May 2nd, 2022",2022-05-02 19:24:51+00:00,341717,6660,0,Monday
73,"The Pat McAfee Show | Friday April 29th, 2022",2022-04-29 19:48:55+00:00,429933,6964,4,Friday
74,"Pat McAfee's Draft Spectacular | April 28th, 2022",2022-04-29 04:03:22+00:00,1376959,29529,4,Friday
75,"The Pat McAfee Show | Thursday April 28th, 2022",2022-04-28 18:21:33+00:00,296846,5828,3,Thursday
76,"The Pat McAfee Show | Wednesday April 27th, 2022",2022-04-27 19:30:40+00:00,325738,6070,2,Wednesday
77,"The Pat McAfee Show | Tuesday April 26th, 2022",2022-04-26 19:58:05+00:00,338286,5218,1,Tuesday
78,"The Pat McAfee Show | Monday April 25th, 2022",2022-04-25 20:06:55+00:00,344789,5535,0,Monday
79,"The Pat McAfee Show | Friday April 22nd, 2022",2022-04-22 18:13:58+00:00,300120,4831,4,Friday
80,"The Pat McAfee Show | Thursday April 21st, 2022",2022-04-21 19:28:08+00:00,288356,4817,3,Thursday
81,"The Pat McAfee Show | Wednesday April 20th, 2022",2022-04-20 20:08:26+00:00,438237,5438,2,Wednesday
82,"The Pat McAfee Show | Tuesday April 19th, 2022",2022-04-19 19:46:40+00:00,317399,5564,1,Tuesday
83,"The Pat McAfee Show | Monday April 18th, 2022",2022-04-18 19:15:44+00:00,307229,5097,0,Monday
84,"The Pat McAfee Show | Friday April 15th, 2022",2022-04-15 18:17:28+00:00,323648,5177,4,Friday
85,"The Pat McAfee Show | Thursday April 14th, 2022",2022-04-14 19:22:15+00:00,283438,4784,3,Thursday
86,"The Pat McAfee Show | Wednesday April 13th, 2022",2022-04-13 19:45:15+00:00,332702,4998,2,Wednesday
87,"The Pat McAfee Show | Tuesday April 12th, 2022",2022-04-12 19:37:40+00:00,327927,4871,1,Tuesday
88,"The Pat McAfee Show | Monday April 11th, 2022",2022-04-11 19:23:40+00:00,333741,5330,0,Monday
89,"The Pat McAfee Show | Friday April 8th, 2022",2022-04-08 19:16:44+00:00,324968,6086,4,Friday
90,"The Pat McAfee Show | Thursday April 7th, 2022",2022-04-07 19:27:48+00:00,277999,4802,3,Thursday
91,"The Pat McAfee Show | Wednesday April 6th, 2022",2022-04-06 19:46:06+00:00,321442,5363,2,Wednesday
92,"The Pat McAfee Show | Tuesday April 5th, 2022",2022-04-05 20:04:32+00:00,367808,5704,1,Tuesday
93,"The Pat McAfee Show | Monday April 4th, 2022",2022-04-04 19:16:50+00:00,453626,10605,0,Monday
94,"The Pat McAfee Show | Thursday March 31st, 2022",2022-03-31 19:19:40+00:00,332115,6002,3,Thursday
95,"The Pat McAfee Show | Wednesday March 30th, 2022",2022-03-30 19:27:16+00:00,334131,5566,2,Wednesday
96,"The Pat McAfee Show | Tuesday March 29th, 2022",2022-03-29 19:31:15+00:00,318500,5286,1,Tuesday
97,"The Pat McAfee Show | Monday March 28th, 2022",2022-03-28 19:46:11+00:00,386523,6095,0,Monday
98,"The Pat McAfee Show | Friday March 25th, 2022",2022-03-25 19:15:13+00:00,373730,5777,4,Friday
99,"The Pat McAfee Show | Thursday March 24th, 2022",2022-03-24 19:44:36+00:00,344025,5551,3,Thursday
100,"The Pat McAfee Show | Wednesday March 23rd, 2022",2022-03-23 19:50:33+00:00,425425,6963,2,Wednesday
101,"The Pat McAfee Show | Tuesday March 22nd, 2022",2022-03-22 19:52:37+00:00,409605,7117,1,Tuesday
102,"The Pat McAfee Show | Monday March 21st, 2022",2022-03-21 19:33:19+00:00,418408,6761,0,Monday
103,"Tom Telesco Talks Recent MAJOR Moves, Having To Keep Up With The Division | Pat McAfee Reacts",2022-03-19 16:00:14+00:00,196474,2833,5,Saturday
104,"The Pat McAfee Show | Friday March 18th, 2022",2022-03-18 18:17:37+00:00,374662,6144,4,Friday
105,"The Pat McAfee Show | Thursday March 17th, 2022",2022-03-17 20:15:58+00:00,394520,6022,3,Thursday
106,"The Pat McAfee Show | Wednesday March 16th, 2022",2022-03-16 19:30:58+00:00,346279,5761,2,Wednesday
107,"The Pat McAfee Show | Tuesday March 15th, 2022",2022-03-15 19:38:10+00:00,385927,6188,1,Tuesday
108,"The Pat McAfee Show | Monday March 14th, 2022",2022-03-14 19:22:57+00:00,412590,6986,0,Monday
109,"The Pat McAfee Show | Friday March 11th, 2022",2022-03-11 19:06:30+00:00,254295,4104,4,Friday
110,"The Pat McAfee Show | Wednesday March 9th, 2022",2022-03-09 20:27:03+00:00,343014,5420,2,Wednesday
111,"The Pat McAfee Show | Tuesday March 8th, 2022",2022-03-08 20:29:25+00:00,473684,8082,1,Tuesday
112,"The Pat McAfee Show | Monday March 7th, 2022",2022-03-07 21:04:05+00:00,337114,4887,0,Monday
113,"The Pat McAfee Show | Friday March 4th, 2022",2022-03-04 18:06:51+00:00,314970,6165,4,Friday
114,"The Pat McAfee Show | Thursday March 3rd, 2022",2022-03-03 21:25:37+00:00,866622,20261,3,Thursday
115,"The Pat McAfee Show | Wednesday March 2nd, 2022",2022-03-02 20:48:24+00:00,293427,5177,2,Wednesday
116,"The Pat McAfee Show | Tuesday March 1st, 2022",2022-03-01 21:04:29+00:00,491436,6409,1,Tuesday
117,"The Pat McAfee Show | Monday February 28th, 2022",2022-02-28 20:18:49+00:00,300275,5670,0,Monday
118,"The Pat McAfee Show | Friday February 25th, 2022",2022-02-25 20:54:33+00:00,315312,4899,4,Friday
119,"The Pat McAfee Show | Thursday February 24th, 2022",2022-02-24 20:28:50+00:00,290514,4814,3,Thursday
120,"The Pat McAfee Show | Wednesday February 23rd, 2022",2022-02-23 21:10:18+00:00,305046,4840,2,Wednesday
121,"Aaron Rodgers Tells Pat McAfee ""I Can Still Play"" Amid Retirement Speculation",2022-02-22 21:30:03+00:00,65579,1027,1,Tuesday
122,"The Pat McAfee Show | Tuesday February 22nd, 2022",2022-02-22 20:27:26+00:00,667145,15163,1,Tuesday
123,"The Pat McAfee Show | Monday February 14th, 2022",2022-02-14 20:17:25+00:00,544084,10013,0,Monday
124,"The Pat McAfee Show Super Bowl LVI $40,000 Coin Toss Watch-along",2022-02-14 03:24:06+00:00,386255,5373,0,Monday
125,FanDuel $200K Superstar Showdown hosted by Pat McAfee,2022-02-13 04:28:17+00:00,315252,7240,6,Sunday
126,"The Pat McAfee Show | Friday February 11th, 2022",2022-02-11 20:55:19+00:00,482025,7586,4,Friday
127,"The Pat McAfee Show Radio Row After Hours Spectacular | Thursday February 10th, 2022",2022-02-11 01:14:38+00:00,275788,8599,4,Friday
128,"The Pat McAfee Show | Thursday February 10th, 2022",2022-02-10 20:58:18+00:00,412780,6577,3,Thursday
129,"The Pat McAfee Show | Wednesday February 9th, 2022",2022-02-09 21:04:46+00:00,520185,8357,2,Wednesday
130,"The Pat McAfee Show | Tuesday February 8th, 2022",2022-02-08 20:56:41+00:00,519639,8680,1,Tuesday
131,"The Pat McAfee Show | Monday February 7th, 2022",2022-02-07 20:14:36+00:00,342997,5665,0,Monday
132,"The Pat McAfee Show | Friday February 4th, 2022",2022-02-04 20:47:09+00:00,364354,5575,4,Friday
133,"The Pat McAfee Show | Wednesday February 2nd, 2022",2022-02-02 20:11:20+00:00,342629,6048,2,Wednesday
134,"The Pat McAfee Show | Tuesday February 1st, 2022",2022-02-01 20:45:54+00:00,456237,6844,1,Tuesday
135,"The Pat McAfee Show | Monday January 31st, 2022",2022-01-31 21:02:04+00:00,576155,8242,0,Monday
136,"The Pat McAfee Show | Friday January 28th, 2022",2022-01-28 20:34:25+00:00,384065,5852,4,Friday
137,"The Pat McAfee Show | Thursday January 27th, 2022",2022-01-27 21:33:10+00:00,359282,6026,3,Thursday
138,"The Pat McAfee Show | Wednesday January 26th, 2022",2022-01-26 21:05:54+00:00,493747,6732,2,Wednesday
139,"The Pat McAfee Show | Tuesday January 25th, 2022",2022-01-25 20:19:40+00:00,489989,10001,1,Tuesday
140,"The Pat McAfee Show | Monday January 24th, 2022",2022-01-24 20:53:11+00:00,593196,9114,0,Monday
141,"The Pat McAfee Show | Friday January 21st, 2022",2022-01-21 20:27:59+00:00,371524,5949,4,Friday
142,"The Pat McAfee Show | Thursday January 20th, 2022",2022-01-20 21:10:57+00:00,395645,6602,3,Thursday
143,"The Pat McAfee Show | Wednesday January 19th, 2022",2022-01-19 20:55:28+00:00,425356,6001,2,Wednesday
144,"The Pat McAfee Show | Tuesday January 18th, 2022",2022-01-18 21:42:30+00:00,512383,7478,1,Tuesday
145,"The Pat McAfee Show | Monday January 17th, 2022",2022-01-17 20:44:22+00:00,476095,7910,0,Monday
146,"The Pat McAfee Show | Friday January 14th, 2022",2022-01-14 19:15:39+00:00,373452,5874,4,Friday
147,"The Pat McAfee Show | Thursday January 13th, 2022",2022-01-13 20:37:56+00:00,393301,5923,3,Thursday
148,"The Pat McAfee Show | Wednesday January 12th, 2022",2022-01-12 20:50:37+00:00,412181,5764,2,Wednesday
149,"The Pat McAfee Show | Tuesday January 11th, 2022",2022-01-11 20:35:42+00:00,448072,8384,1,Tuesday
150,"The Pat McAfee Show | Monday January 10th, 2022",2022-01-10 20:15:46+00:00,553871,9358,0,Monday
151,"The Pat McAfee Show | Friday January 7th, 2022",2022-01-07 20:39:35+00:00,362565,5527,4,Friday
152,"The Pat McAfee Show | Thursday January 6th, 2022",2022-01-06 20:37:18+00:00,369285,6341,3,Thursday
153,"The Pat McAfee Show | Wednesday January 5th, 2022",2022-01-05 20:46:31+00:00,315462,5092,2,Wednesday
154,"The Pat McAfee Show | Tuesday January 4th, 2022",2022-01-04 20:31:13+00:00,393962,7131,1,Tuesday
155,"The Pat McAfee Show | Monday January 3rd, 2022",2022-01-03 21:14:24+00:00,502765,7471,0,Monday
156,The Pat McAfee Show 2021 Year In Review,2021-12-31 20:00:01+00:00,96970,4482,4,Friday
157,"The Pat McAfee Show | Friday December 31st, 2021",2021-12-31 20:12:19+00:00,215798,4463,4,Friday
158,"The Pat McAfee Show | Thursday December 30th, 2021",2021-12-30 20:38:13+00:00,268981,4294,3,Thursday
159,"The Pat McAfee Show | Wednesday December 29th, 2021",2021-12-29 21:20:04+00:00,286618,5788,2,Wednesday
160,"The Pat McAfee Show | Tuesday December 28th, 2021",2021-12-28 20:25:18+00:00,345739,6371,1,Tuesday
161,"The Pat McAfee Show | Monday December 27th, 2021",2021-12-27 21:32:07+00:00,356167,5883,0,Monday
162,"The Pat McAfee Show | Wednesday December 22nd, 2021",2021-12-22 20:45:27+00:00,371608,5177,2,Wednesday
163,"The Pat McAfee Show | Tuesday December 21st, 2021",2021-12-21 21:14:32+00:00,354154,6198,1,Tuesday
164,"The Pat McAfee Show | Monday December 20th, 2021",2021-12-20 20:36:59+00:00,368853,5644,0,Monday
165,"The Pat McAfee Show | Friday December 17th, 2021",2021-12-17 20:18:52+00:00,397725,7699,4,Friday
166,"The Pat McAfee Show | Thursday December 16th, 2021",2021-12-16 20:48:55+00:00,376048,6164,3,Thursday
167,"The Pat McAfee Show | Wednesday December 15th, 2021",2021-12-15 21:15:46+00:00,262562,4519,2,Wednesday
168,"The Pat McAfee Show | Tuesday December 14th, 2021",2021-12-14 20:57:43+00:00,403841,6422,1,Tuesday
169,"The Pat McAfee Show | Monday December 13th, 2021",2021-12-13 20:52:13+00:00,384976,5900,0,Monday
170,"The Pat McAfee Show | Friday December 10th, 2021",2021-12-10 19:20:29+00:00,343425,6539,4,Friday
171,"The Pat McAfee Show | Thursday December 9th, 2021",2021-12-09 19:19:02+00:00,341533,9803,3,Thursday
172,"The Pat McAfee Show | Wednesday December 8th, 2021",2021-12-08 20:48:31+00:00,262101,3895,2,Wednesday
173,"The Pat McAfee Show | Tuesday December 7th, 2021",2021-12-07 20:49:31+00:00,343717,5160,1,Tuesday
174,"The Pat McAfee Show | Monday December 6th, 2021",2021-12-06 21:14:28+00:00,351897,4956,0,Monday
175,"The Pat McAfee Show | Friday December 3rd, 2021",2021-12-03 19:33:05+00:00,265921,4043,4,Friday
176,"The Pat McAfee Show | Thursday December 2nd, 2021",2021-12-02 19:14:20+00:00,242178,3824,3,Thursday
177,"The Pat McAfee Show | Wednesday December 1st, 2021",2021-12-01 20:49:20+00:00,279627,4666,2,Wednesday
178,"The Pat McAfee Show | Tuesday November 30th, 2021",2021-11-30 20:29:43+00:00,343767,6055,1,Tuesday
179,"The Pat McAfee Show | Monday November 29th, 2021",2021-11-29 21:14:51+00:00,327547,5369,0,Monday
180,"The Pat McAfee Show | Friday November 26th, 2021",2021-11-26 19:32:47+00:00,220120,3955,4,Friday
181,"The Pat McAfee Show | Wednesday November 24th, 2021",2021-11-24 20:56:03+00:00,281748,4053,2,Wednesday
182,"The Pat McAfee Show | Tuesday November 23rd, 2021",2021-11-23 20:54:50+00:00,325179,5220,1,Tuesday
183,"The Pat McAfee Show | Monday November 22nd, 2021",2021-11-22 21:22:03+00:00,319354,5085,0,Monday
184,"The Pat McAfee Show | Friday November 19th, 2021",2021-11-19 19:13:38+00:00,273785,4368,4,Friday
185,"The Pat McAfee Show | Thursday November 18th, 2021",2021-11-18 20:53:31+00:00,276600,4240,3,Thursday
186,"The Pat McAfee Show | Wednesday November 17th, 2021",2021-11-17 21:16:48+00:00,355984,4449,2,Wednesday
187,"The Pat McAfee Show | Tuesday November 16th, 2021",2021-11-16 20:46:42+00:00,372872,6286,1,Tuesday
188,"The Pat McAfee Show | Monday November 15th, 2021",2021-11-15 20:52:49+00:00,371084,5570,0,Monday
189,"The Pat McAfee Show | Friday November 12th, 2021",2021-11-12 20:26:51+00:00,309571,4685,4,Friday
190,"The Pat McAfee Show | Thursday November 11th, 2021",2021-11-11 20:55:51+00:00,311047,4747,3,Thursday
191,"The Pat McAfee Show | Wednesday November 10th, 2021",2021-11-10 21:12:06+00:00,282098,4872,2,Wednesday
192,"The Pat McAfee Show | Tuesday November 9th, 2021",2021-11-09 21:10:57+00:00,536761,8299,1,Tuesday
193,"The Pat McAfee Show | Monday November 8th, 2021",2021-11-08 20:53:33+00:00,385119,6133,0,Monday
194,"The Pat McAfee Show | Friday November 5th, 2021",2021-11-05 20:17:14+00:00,637147,14226,4,Friday
195,"The Pat McAfee Show | Thursday November 4th, 2021",2021-11-04 19:30:35+00:00,296535,4805,3,Thursday
196,"The Pat McAfee Show | Wednesday November 3rd, 2021",2021-11-03 19:38:58+00:00,357502,5617,2,Wednesday
197,"The Pat McAfee Show | Tuesday November 2nd, 2021",2021-11-02 20:21:13+00:00,374849,6595,1,Tuesday
198,"The Pat McAfee Show | Monday November 1st, 2021",2021-11-01 22:06:19+00:00,347449,6211,0,Monday
199,"The Pat McAfee Show | Friday October 29th, 2021",2021-10-29 18:10:25+00:00,359243,9161,4,Friday
200,"The Pat McAfee Show | Thursday October 28th, 2021",2021-10-28 19:42:40+00:00,263472,4110,3,Thursday
201,"The Pat McAfee Show | Wednesday October 27th, 2021",2021-10-27 19:59:42+00:00,415144,4873,2,Wednesday
202,"The Pat McAfee Show | Tuesday October 26th, 2021",2021-10-26 19:42:23+00:00,395561,6486,1,Tuesday
203,"The Pat McAfee Show | Monday October 25th, 2021",2021-10-25 20:23:31+00:00,334802,5718,0,Monday
204,"The Pat McAfee Show | Friday October 22nd, 2021",2021-10-22 18:22:55+00:00,281982,4704,4,Friday
205,"The Pat McAfee Show | Thursday October 21st, 2021",2021-10-21 19:31:03+00:00,277163,4194,3,Thursday
206,"The Pat McAfee Show | Wednesday October 20th, 2021",2021-10-20 20:02:34+00:00,295246,4212,2,Wednesday
207,"The Pat McAfee Show | Tuesday October 19th, 2021",2021-10-19 20:07:22+00:00,381942,6689,1,Tuesday
208,"The Pat McAfee Show | Monday October 18th, 2021",2021-10-18 19:51:11+00:00,347641,5713,0,Monday
209,"The Pat McAfee Show | Friday October 15th, 2021",2021-10-15 19:27:45+00:00,273301,4184,4,Friday
210,"The Pat McAfee Show | Thursday October 14th, 2021",2021-10-14 19:26:17+00:00,263862,4295,3,Thursday
211,"The Pat McAfee Show | Wednesday October 13th, 2021",2021-10-13 19:33:50+00:00,284031,5065,2,Wednesday
212,"The Pat McAfee Show | Tuesday October 12th, 2021",2021-10-12 19:34:41+00:00,382579,6462,1,Tuesday
213,"The Pat McAfee Show | Monday October 11th, 2021",2021-10-11 19:38:33+00:00,350384,5650,0,Monday
214,"The Pat McAfee Show | Friday October 8th, 2021",2021-10-08 19:34:56+00:00,329162,5492,4,Friday
215,"The Pat McAfee Show | Thursday October 7th, 2021",2021-10-07 19:23:16+00:00,266300,5351,3,Thursday
216,"The Pat McAfee Show | Wednesday October 6th, 2021",2021-10-06 19:48:57+00:00,250317,4398,2,Wednesday
217,"The Pat McAfee Show | Tuesday October 5th, 2021",2021-10-05 19:58:59+00:00,387444,6100,1,Tuesday
